date,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,Final_Community_Sum
01/01/2020 11:00,0.20,0.97,0.15,0.99,0.76,0.43,0.13,1.08,1.83,1.85,0.98,0.20,0.32,0.42,2.81,1.84,0.86,0.95,0.38,0.08,17.22
01/01/2020 12:00,0.03,1.43,0.20,1.07,0.71,2.52,0.11,1.61,4.03,1.78,0.28,0.78,0.59,0.70,0.67,0.82,0.91,1.57,0.36,0.10,20.24
01/01/2020 13:00,1.44,0.75,0.16,1.04,0.85,2.19,0.11,0.88,1.66,0.32,1.01,0.28,0.35,1.14,0.52,0.76,1.26,1.52,0.30,0.31,16.85
01/01/2020 14:00,0.07,0.15,0.18,0.12,0.31,0.50,0.13,1.67,0.86,2.39,0.21,0.84,0.22,1.09,0.40,1.58,1.59,1.49,0.30,0.22,14.33
01/01/2020 15:00,0.06,0.45,0.28,0.13,0.34,0.41,0.15,0.66,0.78,1.17,0.16,0.65,0.19,3.70,1.70,1.12,0.56,1.74,0.76,0.27,15.28
01/01/2020 16:00,0.52,0.11,0.54,0.12,0.19,0.61,0.16,0.54,1.97,0.54,1.06,0.22,0.29,2.81,2.29,0.46,1.10,1.81,0.33,1.23,16.89
01/01/2020 17:00,1.07,1.04,0.38,0.12,0.51,1.34,0.17,1.40,4.80,1.44,1.35,0.32,0.34,1.48,1.70,0.36,1.34,1.34,0.50,0.60,21.60
01/01/2020 18:00,1.39,0.91,0.42,0.17,0.54,1.49,0.17,0.51,3.66,4.87,3.98,0.31,0.27,0.58,1.03,0.69,0.36,0.71,1.03,0.76,23.84
01/01/2020 19:00,0.90,1.01,0.60,0.21,0.59,0.84,0.14,0.34,3.16,0.79,3.10,0.32,0.36,0.54,1.24,1.01,0.71,0.80,0.37,0.37,17.39
01/01/2020 20:00,0.82,1.09,1.11,0.20,0.55,0.58,0.15,0.32,1.94,0.65,1.08,0.44,0.55,0.51,2.64,1.11,1.30,1.03,0.34,0.38,16.80
01/01/2020 21:00,0.74,0.58,1.21,0.14,0.20,0.71,0.13,0.37,2.77,0.59,0.92,0.36,0.54,0.74,1.99,1.17,0.49,0.76,0.38,0.31,15.11
01/01/2020 22:00,0.28,0.26,0.96,0.12,0.15,0.64,0.14,0.37,2.98,0.42,0.73,0.16,0.27,0.52,0.98,1.64,0.36,0.60,0.40,0.25,12.22
01/01/2020 23:00,0.31,0.18,0.78,0.12,0.08,0.72,0.19,0.61,1.43,0.58,1.09,0.15,0.21,0.48,0.39,1.53,0.33,0.63,0.60,0.28,10.70
02/01/2020 00:00,0.02,0.16,0.32,0.15,0.08,0.38,0.69,0.34,0.14,0.30,0.24,0.03,0.23,0.23,0.26,0.70,0.13,0.61,0.48,0.17,5.68
02/01/2020 01:00,0.06,0.13,0.27,0.18,0.09,0.20,2.83,2.80,0.14,2.50,0.28,0.08,0.19,0.18,0.37,0.72,0.05,0.27,0.20,0.18,11.71
02/01/2020 02:00,0.02,0.14,0.22,0.26,0.10,0.06,1.81,3.25,0.16,2.66,0.18,0.02,0.20,0.27,0.16,0.67,0.05,0.23,0.15,0.19,10.79
02/01/2020 03:00,0.02,0.16,0.19,0.13,0.08,0.02,0.24,3.28,0.14,2.34,0.18,0.03,0.21,0.18,0.11,0.66,0.04,0.29,0.16,0.14,8.61
02/01/2020 04:00,0.06,0.11,0.16,0.12,0.08,0.24,0.24,0.49,0.14,0.48,0.21,0.09,0.16,0.23,0.14,0.58,0.04,0.24,0.19,0.11,4.13
02/01/2020 05:00,0.02,0.15,0.17,0.12,0.08,0.31,0.23,0.21,0.14,0.51,0.18,0.03,0.18,0.18,0.11,0.55,0.04,0.23,0.27,0.06,3.80
02/01/2020 06:00,0.03,0.12,1.18,0.18,0.09,0.44,0.40,0.30,0.14,0.80,2.58,0.03,0.89,0.33,0.66,0.65,0.04,0.27,0.26,0.05,9.42
02/01/2020 07:00,0.05,0.12,2.30,2.64,0.20,1.31,0.77,0.30,0.13,0.19,1.08,0.21,0.44,0.25,1.89,0.74,0.04,0.30,0.30,0.07,13.32
02/01/2020 08:00,0.01,0.37,0.15,2.08,0.09,2.00,1.09,0.18,0.13,0.56,0.40,0.11,0.21,0.58,0.49,0.70,0.66,0.45,0.39,0.10,10.76
02/01/2020 09:00,0.04,0.58,0.34,0.90,0.28,0.20,1.28,0.24,0.13,1.24,0.33,0.03,0.16,0.75,0.31,0.67,0.04,0.29,1.52,0.74,10.08
02/01/2020 10:00,0.01,0.14,0.25,1.09,0.19,2.10,0.71,0.25,0.14,0.16,0.44,0.07,0.17,0.41,0.77,0.35,0.04,1.24,0.97,2.13,11.64
02/01/2020 11:00,0.00,0.09,0.21,0.18,0.19,2.62,0.09,0.32,0.14,1.58,0.44,0.05,0.16,0.96,1.11,0.39,0.09,2.24,0.88,0.10,11.83
02/01/2020 12:00,0.05,0.07,0.26,0.28,0.12,0.88,2.22,1.37,0.14,1.58,1.03,0.02,0.21,0.20,1.58,0.52,0.04,2.13,0.91,1.38,14.98
02/01/2020 13:00,0.01,0.55,0.27,0.15,0.16,1.07,3.92,0.77,0.14,1.85,2.41,0.06,0.15,0.22,0.42,2.92,1.24,0.38,0.96,0.86,18.50
02/01/2020 14:00,0.01,0.30,0.23,1.21,0.21,0.35,1.37,0.22,0.15,0.17,0.47,0.06,0.15,0.20,0.23,0.70,0.51,1.28,0.94,0.11,8.86
02/01/2020 15:00,0.05,0.08,0.61,0.51,0.18,0.24,1.19,0.25,0.15,0.28,0.40,0.03,0.16,0.51,0.21,0.43,0.06,1.97,0.71,0.39,8.39
02/01/2020 16:00,0.01,0.11,0.37,0.29,0.25,0.32,1.39,0.30,0.14,1.67,1.35,0.05,0.17,0.63,0.19,0.43,1.20,1.75,0.80,0.54,11.96
02/01/2020 17:00,0.02,1.30,1.35,0.99,0.48,0.20,1.14,1.17,0.14,2.04,0.85,0.07,0.21,0.71,0.34,0.58,1.39,3.75,0.81,0.67,18.17
02/01/2020 18:00,0.06,0.64,0.42,0.44,0.49,0.36,1.68,0.47,0.13,3.04,1.77,0.02,0.30,1.57,1.18,0.67,0.83,0.77,1.13,0.76,16.74
02/01/2020 19:00,0.02,1.08,0.36,2.35,0.23,0.26,1.56,0.44,0.13,1.58,1.08,0.08,0.24,1.25,0.89,1.17,1.09,0.51,1.02,0.60,15.96
02/01/2020 20:00,0.02,0.51,0.40,2.89,0.22,0.48,0.89,0.35,0.13,1.23,0.80,0.08,0.24,0.54,0.76,0.88,0.39,0.52,0.83,0.35,12.52
02/01/2020 21:00,0.06,0.44,1.51,1.87,0.23,0.42,1.07,0.31,0.15,1.60,0.59,0.02,0.13,0.60,0.58,0.76,0.25,0.39,0.82,0.29,12.08
02/01/2020 22:00,0.02,0.36,1.25,1.34,0.29,0.50,1.02,0.26,0.15,0.79,0.44,0.02,0.12,0.54,0.67,0.60,0.38,0.44,0.89,0.22,10.29
02/01/2020 23:00,0.02,0.15,0.79,1.33,0.19,0.56,1.32,0.23,0.14,0.74,0.42,0.09,0.12,0.59,0.47,0.56,0.22,0.71,0.78,0.28,9.71
03/01/2020 00:00,1.60,0.50,0.32,0.19,0.09,0.59,0.46,0.27,0.06,1.11,0.40,0.21,0.09,0.35,0.26,1.13,0.25,0.18,0.32,0.51,8.91
03/01/2020 01:00,0.05,0.80,0.33,0.17,0.08,0.25,2.57,2.80,0.06,3.43,0.18,0.16,0.10,0.18,0.31,0.56,0.10,0.18,0.21,0.20,12.73
03/01/2020 02:00,0.03,0.45,0.24,0.18,0.09,0.06,2.71,3.31,0.06,3.53,0.24,0.12,0.09,0.24,0.15,0.37,0.06,0.18,0.17,0.10,12.37
03/01/2020 03:00,0.06,0.42,0.25,0.09,0.09,0.04,2.97,3.24,0.07,3.49,0.30,0.12,0.10,0.19,0.14,0.25,0.06,0.19,0.15,0.09,12.30
03/01/2020 04:00,0.03,0.43,0.14,0.09,0.09,0.21,0.57,0.53,0.08,1.29,0.32,0.19,0.09,0.15,0.14,0.18,0.05,0.17,0.22,0.05,5.02
03/01/2020 05:00,0.06,0.42,0.21,0.39,0.09,0.56,0.43,0.36,0.07,1.02,0.22,0.17,0.10,0.20,0.15,0.20,0.05,0.18,0.25,0.05,5.19
03/01/2020 06:00,0.03,0.41,0.15,0.53,0.08,0.48,0.42,0.34,0.06,1.13,0.18,0.21,0.09,0.29,0.16,0.19,0.05,0.17,0.30,0.05,5.31
03/01/2020 07:00,0.06,0.45,2.78,0.83,0.22,0.19,0.22,0.44,0.06,0.93,0.19,0.25,0.09,0.18,0.19,0.18,0.06,0.17,0.31,0.06,7.86
03/01/2020 08:00,0.02,0.65,0.60,0.77,0.13,0.23,0.23,0.21,0.07,0.71,0.31,0.43,0.10,0.21,1.79,0.33,0.06,0.16,0.47,0.09,7.56
03/01/2020 09:00,0.05,0.48,0.31,1.87,0.43,0.36,0.49,0.26,0.09,0.89,0.34,0.59,0.09,3.59,0.54,0.41,0.21,0.15,1.26,0.42,12.82
03/01/2020 10:00,0.01,1.35,0.16,0.24,0.52,0.31,1.11,0.86,0.08,0.81,0.21,0.44,0.09,2.17,0.54,0.53,0.28,0.16,1.79,0.93,12.62
03/01/2020 11:00,0.03,0.59,0.31,0.37,0.60,1.25,0.17,0.18,0.07,0.60,0.13,0.45,0.91,1.81,1.54,0.53,0.35,0.16,1.43,0.43,11.94
03/01/2020 12:00,0.04,0.76,0.30,0.73,0.60,0.94,0.62,0.25,0.07,0.76,0.11,0.34,1.18,0.86,2.25,0.35,1.20,0.15,0.83,0.62,12.97
03/01/2020 13:00,0.02,1.52,0.17,0.18,0.90,0.59,0.95,0.49,0.08,1.98,0.11,0.23,0.50,0.18,1.42,0.36,0.12,0.16,1.17,3.07,14.20
03/01/2020 14:00,0.05,0.39,0.18,0.38,0.78,0.32,0.19,0.37,0.08,1.27,0.11,0.15,0.23,0.24,0.53,0.20,0.27,0.16,0.73,0.73,7.35
03/01/2020 15:00,0.01,0.38,0.14,0.19,1.11,0.38,0.70,0.18,0.08,0.73,0.61,0.16,0.27,0.21,0.98,0.19,0.60,0.41,0.70,0.05,8.06
03/01/2020 16:00,0.05,0.36,0.17,0.24,0.34,0.40,0.48,0.28,0.08,0.55,0.96,0.30,0.25,0.21,0.52,0.20,0.06,0.19,1.09,0.24,6.96
03/01/2020 17:00,1.87,1.85,0.16,0.23,0.21,0.67,0.45,1.11,0.08,1.03,0.48,0.27,0.87,0.42,1.71,0.33,0.06,0.32,1.20,0.23,13.54
03/01/2020 18:00,2.78,0.45,0.17,0.19,0.74,0.58,0.49,0.61,0.07,1.82,0.31,0.24,1.19,0.48,0.68,0.42,0.26,0.40,0.99,0.20,13.07
03/01/2020 19:00,4.17,1.27,1.27,1.28,0.32,2.83,0.73,1.20,0.07,1.91,2.37,0.22,0.25,0.53,0.60,3.25,0.37,0.57,0.89,0.76,24.87
03/01/2020 20:00,5.50,0.81,0.65,0.68,0.25,0.56,1.87,1.37,0.08,2.11,1.63,0.27,0.25,0.59,0.80,1.59,0.25,0.53,0.85,0.80,21.43
03/01/2020 21:00,5.78,0.76,0.45,1.07,0.22,1.75,0.65,1.31,0.09,1.35,0.58,0.22,0.20,0.95,2.04,0.70,0.41,0.40,0.99,0.36,20.27
03/01/2020 22:00,5.99,0.60,0.50,1.77,0.14,1.65,0.47,0.45,0.08,1.30,0.74,0.10,0.26,0.75,0.31,0.54,0.22,0.26,0.76,0.61,17.49
03/01/2020 23:00,5.78,1.08,0.30,0.29,0.09,0.56,0.38,0.24,0.06,1.20,0.29,0.10,0.21,0.42,0.27,0.34,0.20,0.23,0.26,0.64,12.95
04/01/2020 00:00,0.34,0.20,0.32,0.11,0.13,0.40,1.10,0.27,0.08,1.16,0.30,0.17,0.17,0.30,0.96,0.90,0.05,0.38,0.33,0.35,7.99
04/01/2020 01:00,0.28,0.56,0.32,0.12,0.14,0.07,3.09,2.95,0.08,2.79,0.26,0.20,0.17,0.26,0.20,0.86,0.06,0.26,0.24,0.12,13.03
04/01/2020 02:00,0.28,0.17,0.34,0.17,0.14,0.07,2.79,3.22,0.08,3.38,0.27,0.18,0.17,0.19,0.18,0.84,0.04,0.25,0.35,0.10,13.22
04/01/2020 03:00,0.30,0.12,0.24,0.21,0.13,0.04,0.61,3.28,0.08,3.35,0.26,0.13,0.18,0.25,0.16,0.91,0.03,0.24,0.29,0.11,10.91
04/01/2020 04:00,0.26,0.13,0.15,0.17,0.13,0.17,0.36,0.37,0.08,0.90,0.22,0.19,0.19,0.19,0.17,0.84,0.05,0.21,0.31,0.05,5.15
04/01/2020 05:00,0.30,0.14,1.71,0.10,0.13,0.44,0.33,0.34,0.08,0.82,0.28,0.26,0.55,0.25,0.16,0.70,0.04,0.21,0.34,0.05,7.23
04/01/2020 06:00,0.26,0.11,1.76,0.10,0.14,0.45,0.30,0.26,0.07,0.82,0.23,0.23,0.96,0.26,0.17,0.70,0.03,0.19,0.31,0.07,7.43
04/01/2020 07:00,0.29,0.23,0.23,1.88,0.24,0.43,0.16,0.23,0.08,0.65,0.86,0.25,0.49,0.30,0.18,0.80,0.04,0.19,0.33,0.11,7.96
04/01/2020 08:00,0.21,0.19,0.35,0.76,0.24,0.30,0.18,0.20,0.09,0.66,0.58,0.29,0.48,0.50,0.23,0.83,0.23,0.26,0.67,0.11,7.36
04/01/2020 09:00,0.55,0.72,0.27,0.59,0.21,0.39,0.24,0.31,0.08,4.44,0.76,0.19,0.31,1.12,0.75,0.74,0.80,1.37,1.73,0.29,15.87
04/01/2020 10:00,0.34,0.68,0.36,1.28,0.59,0.37,0.23,0.29,0.08,0.71,0.74,0.28,0.29,0.68,0.39,0.72,0.12,1.21,1.87,0.19,11.42
04/01/2020 11:00,0.28,0.42,0.61,0.16,0.37,0.29,0.01,0.18,0.08,0.71,0.43,0.45,0.28,2.01,0.64,0.93,0.65,1.04,0.68,0.17,10.39
04/01/2020 12:00,1.54,0.28,0.29,1.03,1.00,0.75,0.14,0.61,0.08,0.66,0.63,0.32,0.25,4.19,0.42,0.99,1.57,1.46,0.44,0.24,16.89
04/01/2020 13:00,0.52,0.62,0.34,1.50,0.87,0.35,0.43,0.59,0.11,0.74,0.82,0.47,0.19,1.58,2.25,0.84,0.68,1.03,0.72,0.19,14.85
04/01/2020 14:00,0.33,0.13,0.25,2.09,0.41,0.25,0.39,0.48,0.11,0.35,0.28,0.32,0.17,2.05,0.48,0.81,0.36,0.99,0.33,0.10,10.68
04/01/2020 15:00,0.06,0.12,0.34,0.41,1.02,0.35,0.01,0.26,0.11,0.44,0.37,0.34,0.27,1.96,0.72,0.87,0.04,0.90,0.40,0.07,9.06
04/01/2020 16:00,0.35,0.45,1.88,4.35,0.68,0.89,0.19,0.21,0.08,0.38,1.30,0.32,0.16,0.90,0.35,1.20,0.04,2.04,0.42,0.27,16.46
04/01/2020 17:00,3.61,1.11,0.44,1.83,0.76,0.49,3.58,0.60,0.08,1.09,2.08,0.38,0.55,1.20,0.33,1.75,0.44,2.55,0.48,0.32,23.68
04/01/2020 18:00,0.30,0.47,1.21,3.33,0.64,0.84,0.98,1.40,0.10,0.42,1.48,0.56,0.17,0.81,0.92,1.27,0.12,2.84,1.09,1.36,20.32
04/01/2020 19:00,0.09,0.32,0.44,1.50,0.40,1.24,0.76,0.85,0.11,0.83,1.68,0.58,0.15,0.46,0.69,1.48,0.05,0.42,0.54,1.45,14.05
04/01/2020 20:00,0.21,0.37,0.79,2.90,0.25,1.70,0.60,0.88,0.10,3.23,2.44,0.22,0.28,0.70,0.89,1.38,0.19,1.20,0.39,0.27,19.01
04/01/2020 21:00,0.54,0.45,0.58,0.61,0.44,2.09,0.55,2.32,0.08,0.68,1.32,0.27,0.22,0.54,1.76,1.60,0.12,0.83,0.72,0.28,16.00
04/01/2020 22:00,0.52,0.34,0.62,0.39,0.28,1.26,0.54,0.98,0.08,0.63,1.43,0.29,0.19,0.53,0.59,0.67,0.30,1.07,0.78,0.32,11.82
04/01/2020 23:00,0.42,0.70,0.44,0.17,0.18,0.62,0.72,0.26,0.08,0.69,1.17,0.19,0.15,0.40,0.37,0.73,0.18,0.68,1.67,0.33,10.17
05/01/2020 00:00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.93
05/01/2020 01:00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.86
05/01/2020 02:00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.97
05/01/2020 03:00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.39
05/01/2020 04:00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.47
05/01/2020 05:00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.50
05/01/2020 06:00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.40
05/01/2020 07:00,0.00,0.00,0.00,1.56,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,2.17
05/01/2020 08:00,0.73,0.18,0.26,0.58,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,2.13
05/01/2020 09:00,0.52,0.29,0.35,2.15,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,4.05
05/01/2020 10:00,1.04,0.31,0.43,0.85,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,3.39
05/01/2020 11:00,0.81,0.52,0.66,0.41,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,3.33
05/01/2020 12:00,1.68,0.53,0.62,0.48,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,4.54
05/01/2020 13:00,1.78,0.80,1.02,0.33,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,5.69
05/01/2020 14:00,1.29,0.78,0.66,2.93,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,7.28
05/01/2020 15:00,1.46,0.63,0.52,1.25,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,6.00
05/01/2020 16:00,0.95,0.84,0.65,0.85,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,5.16
05/01/2020 17:00,0.59,0.57,0.25,1.29,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,4.19
05/01/2020 18:00,0.23,0.32,0.05,0.29,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,2.77
05/01/2020 19:00,0.04,0.05,0.03,0.35,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.00,2.05
05/01/2020 20:00,0.00,0.01,0.00,0.26,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.66
05/01/2020 21:00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.60
05/01/2020 22:00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.92
05/01/2020 23:00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.71
06/01/2020 00:00,0.06,0.59,0.48,0.27,0.17,0.36,0.48,0.56,0.09,0.20,0.29,0.22,0.09,0.32,0.57,0.62,0.21,0.97,0.47,0.19,7.22
06/01/2020 01:00,0.04,0.40,0.30,0.18,0.17,0.26,0.17,0.35,0.16,0.16,0.18,0.20,0.09,0.25,0.30,0.57,0.39,1.07,0.15,0.11,5.51
06/01/2020 02:00,0.05,0.21,0.19,0.19,0.16,0.37,0.20,0.34,0.09,0.15,0.23,0.27,0.45,0.25,0.30,0.48,0.16,0.97,0.19,0.11,5.36
06/01/2020 03:00,0.07,0.11,0.27,0.20,0.16,0.23,0.17,0.34,0.11,0.16,0.17,0.18,0.20,0.28,0.25,0.47,0.05,0.99,0.16,0.11,4.66
06/01/2020 04:00,0.02,0.13,0.25,0.17,0.17,0.32,0.14,0.50,0.15,0.13,0.19,0.21,0.58,0.26,0.39,0.46,0.07,0.97,0.15,0.13,5.37
06/01/2020 05:00,0.07,0.18,1.91,0.24,0.16,0.23,0.23,1.74,0.07,0.15,0.21,0.26,0.43,0.25,0.32,0.48,0.06,0.73,0.19,0.10,8.01
06/01/2020 06:00,0.03,0.16,2.63,0.27,0.16,0.17,0.05,3.61,0.14,0.01,0.15,0.24,0.30,0.33,1.09,0.50,0.15,0.70,0.14,0.13,10.98
06/01/2020 07:00,0.05,0.29,0.31,0.38,0.16,0.04,0.16,3.60,0.11,0.22,0.19,0.88,0.33,0.64,0.49,0.47,0.37,0.50,0.20,0.10,9.48
06/01/2020 08:00,0.05,0.21,0.20,0.37,0.68,0.23,0.11,0.48,0.17,0.97,0.25,0.77,0.43,0.54,0.32,0.44,0.69,1.68,0.19,0.09,8.87
06/01/2020 09:00,0.01,0.17,0.27,0.46,0.26,0.38,0.32,0.37,0.08,0.86,0.22,0.26,0.24,0.29,1.74,0.47,1.09,1.03,0.61,0.11,9.25
06/01/2020 10:00,2.59,0.36,0.19,0.38,0.19,0.39,0.24,0.72,0.18,0.18,0.78,0.34,0.30,0.41,0.36,0.46,1.78,0.67,0.28,0.30,11.10
06/01/2020 11:00,0.23,0.31,0.50,0.59,0.23,0.36,0.13,0.29,0.18,0.25,0.33,0.52,0.31,0.29,0.49,0.58,0.09,0.59,0.79,0.29,7.36
06/01/2020 12:00,2.11,0.42,1.11,0.28,1.62,0.39,1.09,0.32,0.18,0.18,0.91,0.42,0.26,0.29,0.88,0.46,0.10,0.69,0.30,0.13,12.14
06/01/2020 13:00,1.58,0.22,0.42,0.30,0.47,0.42,0.17,0.22,0.18,0.00,0.95,0.30,0.22,0.28,0.98,0.47,0.61,0.87,0.38,0.11,9.15
06/01/2020 14:00,0.65,0.13,0.18,0.34,0.35,0.69,0.39,0.31,0.18,0.00,0.44,0.26,0.12,1.69,0.97,0.51,0.05,0.61,0.19,0.11,8.18
06/01/2020 15:00,0.04,0.17,0.44,0.33,0.41,0.59,2.03,0.23,0.18,0.06,0.27,0.41,0.54,0.34,0.28,0.52,0.11,0.79,0.50,0.12,8.34
06/01/2020 16:00,0.08,0.13,0.32,0.30,0.26,1.44,1.12,0.19,0.18,0.10,0.29,0.33,0.26,0.27,0.27,0.60,0.38,0.76,0.20,0.11,7.58
06/01/2020 17:00,0.06,0.19,0.22,0.50,0.30,2.35,0.58,0.13,0.18,0.32,0.26,1.44,0.15,0.32,0.37,0.58,0.58,1.01,0.87,0.11,10.50
06/01/2020 18:00,0.05,0.34,0.41,0.31,0.46,2.13,0.64,0.15,0.18,0.48,1.12,0.67,0.19,0.80,0.52,0.51,0.05,3.68,1.53,0.12,14.33
06/01/2020 19:00,0.49,0.15,0.25,0.37,0.32,2.04,0.26,0.49,0.18,0.66,2.23,0.36,0.19,0.96,0.39,0.50,0.04,1.55,0.76,0.11,12.31
06/01/2020 20:00,2.40,0.36,0.24,0.29,0.25,1.34,0.25,0.38,0.18,0.74,0.48,0.29,0.22,0.30,0.47,0.51,0.05,0.50,0.25,0.13,9.63
06/01/2020 21:00,0.33,0.26,0.37,0.21,0.28,1.25,0.19,0.32,0.17,0.32,0.54,0.30,0.19,0.35,0.43,0.50,0.09,1.09,0.47,0.22,7.89
06/01/2020 22:00,0.15,0.29,0.37,0.55,0.42,0.52,0.33,0.34,0.18,0.23,0.63,0.32,0.22,0.32,0.52,0.53,0.12,0.64,0.26,0.20,7.14
06/01/2020 23:00,0.07,0.31,1.61,0.24,0.35,0.50,0.35,0.29,0.17,0.42,0.34,0.25,0.15,0.57,0.33,0.65,0.09,0.66,0.22,0.37,7.92
07/01/2020 00:00,0.06,0.75,0.36,0.18,0.13,0.36,0.65,0.10,0.19,0.23,1.99,0.24,0.53,0.26,0.20,0.66,0.07,0.29,0.54,0.27,8.08
07/01/2020 01:00,0.02,0.49,0.30,0.14,0.15,0.21,0.53,0.14,0.13,0.28,0.42,0.26,0.29,0.24,0.19,0.64,0.05,0.27,0.19,0.18,5.13
