Latitude (decimal degrees):	52.141
Longitude (decimal degrees):	-10.269
Elevation (m):	8
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200104:1211,87.35,117.01,14.74,10.02,6.62,0.0
20200104:1311,42.94,65.82,14.93,10.07,6.28,0.0
20200104:1411,67.43,94.21,12.85,9.94,6.69,0.0
20200104:1511,4.05,13.91,8.69,9.83,7.17,0.0
20200104:1611,0.0,1.85,2.8,9.87,7.03,0.0
20200104:1711,0.0,0.0,0.0,9.62,6.83,0.0
20200104:1811,0.0,0.0,0.0,9.65,6.76,0.0
20200104:1911,0.0,0.0,0.0,9.7,6.69,0.0
20200104:2011,0.0,0.0,0.0,9.76,6.76,0.0
20200104:2111,0.0,0.0,0.0,9.82,6.76,0.0
20200104:2211,0.0,0.0,0.0,9.7,7.03,0.0
20200104:2311,0.0,0.0,0.0,9.67,7.17,0.0
20200105:0011,0.0,0.0,0.0,9.61,7.52,0.0
20200105:0111,0.0,0.0,0.0,9.44,7.59,0.0
20200105:0211,0.0,0.0,0.0,9.58,7.72,0.0
20200105:0311,0.0,0.0,0.0,9.8,8.14,0.0
20200105:0411,0.0,0.0,0.0,9.88,8.48,0.0
20200105:0511,0.0,0.0,0.0,10.1,8.62,0.0
20200105:0611,0.0,0.0,0.0,10.41,8.62,0.0
20200105:0711,0.0,0.0,0.0,10.42,8.48,0.0
20200105:0811,0.0,0.0,0.0,10.48,8.48,0.0
20200105:0911,0.0,0.87,1.77,10.48,8.48,0.0
20200105:1011,6.27,17.62,7.92,10.58,8.0,0.0
20200105:1111,17.87,34.3,12.39,10.65,8.55,0.0
20200105:1211,19.25,36.16,14.84,10.67,8.14,0.0
20200105:1311,18.55,35.23,15.04,10.81,8.14,0.0
20200105:1411,15.14,30.59,12.98,10.67,8.41,0.0
20200105:1511,17.19,33.38,8.83,10.53,8.76,0.0
20200105:1611,0.0,2.78,2.94,10.23,8.83,0.0
20200105:1711,0.0,0.0,0.0,9.95,8.97,0.0
20200105:1811,0.0,0.0,0.0,9.91,9.17,0.0
20200105:1911,0.0,0.0,0.0,9.71,9.59,0.0
20200105:2011,0.0,0.0,0.0,9.64,10.07,0.0
20200105:2111,0.0,0.0,0.0,9.58,10.69,0.0
20200105:2211,0.0,0.0,0.0,9.44,10.21,0.0
20200105:2311,0.0,0.0,0.0,9.45,10.97,0.0
20200106:0011,0.0,0.0,0.0,9.39,11.31,0.0
20200106:0111,0.0,0.0,0.0,9.33,11.66,0.0
20200106:0211,0.0,0.0,0.0,9.51,12.14,0.0
20200106:0311,0.0,0.0,0.0,9.73,12.48,0.0
20200106:0411,0.0,0.0,0.0,10.0,12.9,0.0
20200106:0511,0.0,0.0,0.0,10.2,12.83,0.0
20200106:0611,0.0,0.0,0.0,10.46,11.66,0.0
20200106:0711,0.0,0.0,0.0,10.47,9.03,0.0
20200106:0811,0.0,0.0,0.0,9.95,9.31,0.0
20200106:0911,0.0,5.25,1.82,9.47,8.69,0.0
20200106:1011,30.02,49.64,7.99,9.41,8.14,0.0
20200106:1111,398.06,458.9,12.48,9.84,9.45,0.0
20200106:1211,396.91,458.09,14.95,10.16,9.24,0.0
20200106:1311,349.66,405.96,15.16,10.15,8.41,0.0
20200106:1411,324.05,378.12,13.11,10.19,7.66,0.0
20200106:1511,275.68,325.65,8.98,10.08,7.45,0.0
20200106:1611,1.56,9.27,3.09,9.42,6.69,0.0
20200106:1711,0.0,0.0,0.0,8.91,6.0,0.0
20200106:1811,0.0,0.0,0.0,8.63,5.86,0.0
20200106:1911,0.0,0.0,0.0,8.72,5.93,0.0
20200106:2011,0.0,0.0,0.0,8.54,5.86,0.0
20200106:2111,0.0,0.0,0.0,9.18,6.62,0.0
20200106:2211,0.0,0.0,0.0,9.05,8.55,0.0
20200106:2311,0.0,0.0,0.0,9.46,9.72,0.0
20200107:0011,0.0,0.0,0.0,9.52,10.14,0.0
20200107:0111,0.0,0.0,0.0,9.9,10.41,0.0
20200107:0211,0.0,0.0,0.0,10.55,10.48,0.0
20200107:0311,0.0,0.0,0.0,11.18,10.62,0.0
20200107:0411,0.0,0.0,0.0,11.89,10.83,0.0
20200107:0511,0.0,0.0,0.0,11.96,11.03,0.0
20200107:0611,0.0,0.0,0.0,11.82,11.17,0.0
20200107:0711,0.0,0.0,0.0,11.98,11.31,0.0
20200107:0811,0.0,0.0,0.0,12.02,11.45,0.0
20200107:0911,0.0,3.5,1.88,12.17,11.52,0.0
20200107:1011,1.09,8.34,8.06,12.2,11.31,0.0
20200107:1111,40.34,63.05,12.58,12.38,11.79,0.0
20200107:1211,20.48,38.01,15.06,12.43,11.52,0.0
20200107:1311,9.19,22.25,15.29,12.58,11.45,0.0
20200107:1411,5.62,16.69,13.25,12.66,11.31,0.0
20200107:1511,7.36,19.47,9.13,12.88,11.38,0.0
20200107:1611,0.31,6.49,3.25,12.72,11.45,0.0
20200107:1711,0.0,0.0,0.0,12.19,11.17,0.0
20200107:1811,0.0,0.0,0.0,11.71,10.76,0.0
20200107:1911,0.0,0.0,0.0,11.15,10.14,0.0
20200107:2011,0.0,0.0,0.0,11.01,9.45,0.0
20200107:2111,0.0,0.0,0.0,10.55,8.41,0.0
20200107:2211,0.0,0.0,0.0,9.88,7.03,0.0
20200107:2311,0.0,0.0,0.0,9.28,6.21,0.0
20200108:0011,0.0,0.0,0.0,9.1,6.28,0.0
20200108:0111,0.0,0.0,0.0,8.94,6.14,0.0
20200108:0211,0.0,0.0,0.0,8.65,6.0,0.0
20200108:0311,0.0,0.0,0.0,8.6,6.48,0.0
20200108:0411,0.0,0.0,0.0,8.5,6.62,0.0
20200108:0511,0.0,0.0,0.0,8.45,6.62,0.0
20200108:0611,0.0,0.0,0.0,8.26,6.34,0.0
20200108:0711,0.0,0.0,0.0,8.11,5.72,0.0
20200108:0811,0.0,0.0,0.0,8.14,4.9,0.0
20200108:0911,0.0,0.87,1.95,7.54,4.07,0.0
20200108:1011,297.47,352.3,8.15,7.73,2.55,0.0
20200108:1111,31.1,50.99,12.68,8.12,2.21,0.0
20200108:1211,43.93,66.75,15.18,8.42,2.0,0.0
20200108:1311,49.41,73.24,15.43,8.32,2.55,0.0
20200108:1411,122.05,155.42,13.4,8.46,2.21,0.0
20200108:1511,57.1,81.96,9.28,8.46,1.45,0.0
20200108:1611,0.0,2.78,3.41,7.79,1.66,0.0
20200108:1711,0.0,0.0,0.0,7.3,3.1,0.0
20200108:1811,0.0,0.0,0.0,7.01,4.21,0.0
20200108:1911,0.0,0.0,0.0,7.0,4.48,0.0
20200108:2011,0.0,0.0,0.0,6.83,4.55,0.0
20200108:2111,0.0,0.0,0.0,6.63,4.69,0.0
20200108:2211,0.0,0.0,0.0,5.99,4.69,0.0
20200108:2311,0.0,0.0,0.0,5.58,4.69,0.0
20200109:0011,0.0,0.0,0.0,5.22,5.31,0.0
20200109:0111,0.0,0.0,0.0,5.13,5.93,0.0
20200109:0211,0.0,0.0,0.0,4.6,5.1,0.0
20200109:0311,0.0,0.0,0.0,4.5,3.86,0.0
20200109:0411,0.0,0.0,0.0,4.09,2.07,0.0
20200109:0511,0.0,0.0,0.0,4.06,2.41,0.0
20200109:0611,0.0,0.0,0.0,4.03,2.76,0.0
20200109:0711,0.0,0.0,0.0,3.96,2.83,0.0
20200109:0811,0.0,0.0,0.0,3.63,2.48,0.0
20200109:0911,0.0,5.25,2.02,3.61,2.21,0.0
20200109:1011,91.11,118.28,8.24,3.07,1.86,0.0
20200109:1111,285.82,332.66,12.79,3.61,1.45,0.0
20200109:1211,511.77,594.2,15.31,4.35,1.93,0.0
20200109:1311,150.88,184.81,15.58,5.12,2.83,0.0
20200109:1411,32.18,51.92,13.56,6.33,4.69,0.0
20200109:1511,230.61,273.67,9.44,7.41,4.62,0.0
20200109:1611,29.52,49.29,3.57,7.79,5.1,0.0
20200109:1711,0.0,0.0,0.0,7.1,8.62,0.0
20200109:1811,0.0,0.0,0.0,6.91,11.24,0.0
20200109:1911,0.0,0.0,0.0,6.87,9.86,0.0
20200109:2011,0.0,0.0,0.0,6.87,8.76,0.0
20200109:2111,0.0,0.0,0.0,7.03,7.66,0.0
20200109:2211,0.0,0.0,0.0,7.17,6.21,0.0
20200109:2311,0.0,0.0,0.0,6.76,5.45,0.0
20200110:0011,0.0,0.0,0.0,6.48,4.14,0.0
20200110:0111,0.0,0.0,0.0,6.35,3.59,0.0
20200110:0211,0.0,0.0,0.0,6.55,4.14,0.0
20200110:0311,0.0,0.0,0.0,6.44,4.48,0.0
20200110:0411,0.0,0.0,0.0,6.38,4.14,0.0
20200110:0511,0.0,0.0,0.0,6.39,4.62,0.0
20200110:0611,0.0,0.0,0.0,6.85,5.31,0.0
20200110:0711,0.0,0.0,0.0,6.91,6.07,0.0
20200110:0811,0.0,0.0,0.0,7.34,6.83,0.0
20200110:0911,0.92,7.87,2.1,7.81,7.66,0.0
20200110:1011,132.91,166.36,8.34,8.3,8.48,0.0
20200110:1111,154.65,190.47,12.9,9.28,8.69,0.0
20200110:1211,41.55,63.97,15.45,9.69,10.28,0.0
20200110:1311,38.47,60.26,15.73,9.79,11.03,0.0
20200110:1411,41.53,63.97,13.72,9.82,10.97,0.0
20200110:1511,22.12,39.87,9.61,10.33,11.59,0.0
20200110:1611,2.01,10.2,3.75,10.52,11.72,0.0
20200110:1711,0.0,0.0,0.0,10.75,11.66,0.0
20200110:1811,0.0,0.0,0.0,11.02,11.59,0.0
20200110:1911,0.0,0.0,0.0,11.11,11.79,0.0
20200110:2011,0.0,0.0,0.0,11.33,12.0,0.0
20200110:2111,0.0,0.0,0.0,11.35,12.14,0.0
20200110:2211,0.0,0.0,0.0,11.3,12.21,0.0
20200110:2311,0.0,0.0,0.0,11.36,12.62,0.0
20200111:0011,0.0,0.0,0.0,11.45,12.55,0.0
20200111:0111,0.0,0.0,0.0,11.67,12.41,0.0
20200111:0211,0.0,0.0,0.0,11.85,12.21,0.0
20200111:0311,0.0,0.0,0.0,12.02,12.41,0.0
20200111:0411,0.0,0.0,0.0,12.33,12.62,0.0
20200111:0511,0.0,0.0,0.0,12.32,12.83,0.0
20200111:0611,0.0,0.0,0.0,12.16,12.83,0.0
20200111:0711,0.0,0.0,0.0,12.1,13.24,0.0
20200111:0811,0.0,0.0,0.0,11.98,13.1,0.0
20200111:0911,0.0,0.87,2.19,11.81,11.59,0.0
20200111:1011,23.42,41.64,8.44,11.2,8.0,0.0
20200111:1111,5.14,15.76,13.03,10.09,6.21,0.0
20200111:1211,8.71,21.32,15.59,9.82,6.14,0.0
20200111:1311,38.44,60.26,15.88,9.71,6.48,0.0
20200111:1411,16.56,32.45,13.89,9.88,6.83,0.0
20200111:1511,11.24,25.03,9.79,9.79,8.0,0.0
20200111:1611,0.0,5.56,3.92,9.57,6.97,0.0
20200111:1711,0.0,0.0,0.0,9.3,5.59,0.0
20200111:1811,0.0,0.0,0.0,9.0,5.17,0.0
20200111:1911,0.0,0.0,0.0,8.86,4.55,0.0
20200111:2011,0.0,0.0,0.0,8.33,4.28,0.0
20200111:2111,0.0,0.0,0.0,8.07,4.41,0.0
20200111:2211,0.0,0.0,0.0,7.94,4.48,0.0
20200111:2311,0.0,0.0,0.0,7.96,4.9,0.0
20200112:0011,0.0,0.0,0.0,8.06,5.86,0.0
20200112:0111,0.0,0.0,0.0,8.1,6.48,0.0
20200112:0211,0.0,0.0,0.0,7.79,6.62,0.0
20200112:0311,0.0,0.0,0.0,7.61,6.21,0.0
20200112:0411,0.0,0.0,0.0,7.34,7.24,0.0
20200112:0511,0.0,0.0,0.0,6.9,6.83,0.0
20200112:0611,0.0,0.0,0.0,6.88,5.86,0.0
20200112:0711,0.0,0.0,0.0,6.76,4.9,0.0
20200112:0811,0.0,0.0,0.0,6.21,5.24,0.0
20200112:0911,1.35,8.74,2.28,6.25,4.83,0.0
20200112:1011,217.72,259.76,8.55,6.65,3.72,0.0
20200112:1111,114.31,145.71,13.16,7.4,4.41,0.0
20200112:1211,177.39,214.77,15.74,7.61,5.66,0.0
20200112:1311,215.43,256.1,16.05,7.74,6.34,0.0
20200112:1411,445.79,510.77,14.06,7.63,6.83,0.0
20200112:1511,165.57,201.5,9.97,7.47,6.62,0.0
20200112:1611,29.38,48.79,4.11,6.79,7.03,0.0
20200112:1711,0.0,0.0,0.0,6.31,6.69,0.0
20200112:1811,0.0,0.0,0.0,6.55,6.9,0.0
20200112:1911,0.0,0.0,0.0,6.8,7.31,0.0
20200112:2011,0.0,0.0,0.0,7.25,7.59,0.0
20200112:2111,0.0,0.0,0.0,7.17,7.17,0.0
20200112:2211,0.0,0.0,0.0,7.06,8.34,0.0
20200112:2311,0.0,0.0,0.0,7.47,9.45,0.0
20200113:0011,0.0,0.0,0.0,8.11,9.93,0.0
20200113:0111,0.0,0.0,0.0,8.45,9.79,0.0
20200113:0211,0.0,0.0,0.0,8.86,10.28,0.0
20200113:0311,0.0,0.0,0.0,9.27,10.83,0.0
20200113:0411,0.0,0.0,0.0,9.56,11.24,0.0
20200113:0511,0.0,0.0,0.0,9.59,12.0,0.0
20200113:0611,0.0,0.0,0.0,9.52,12.69,0.0
20200113:0711,0.0,0.0,0.0,9.48,13.24,0.0
20200113:0811,0.0,0.0,0.0,9.15,14.97,0.0
20200113:0911,0.0,1.75,2.38,9.38,15.79,0.0
20200113:1011,33.2,53.58,8.67,9.62,16.55,0.0
20200113:1111,20.23,37.08,13.3,8.25,13.93,0.0
20200113:1211,10.06,23.18,15.89,8.19,13.52,0.0
20200113:1311,57.04,82.04,16.22,9.16,14.62,0.0
20200113:1411,43.24,65.82,14.25,9.22,17.1,0.0
20200113:1511,31.56,51.36,10.16,8.35,16.07,0.0
20200113:1611,29.34,48.74,4.29,7.29,16.0,0.0
20200113:1711,0.0,0.0,0.0,7.16,14.62,0.0
20200113:1811,0.0,0.0,0.0,6.5,14.0,0.0
20200113:1911,0.0,0.0,0.0,6.23,12.9,0.0
20200113:2011,0.0,0.0,0.0,6.4,12.76,0.0
20200113:2111,0.0,0.0,0.0,6.19,12.48,0.0
20200113:2211,0.0,0.0,0.0,5.77,11.17,0.0
20200113:2311,0.0,0.0,0.0,5.6,10.41,0.0
20200114:0011,0.0,0.0,0.0,5.38,9.86,0.0
20200114:0111,0.0,0.0,0.0,4.91,10.07,0.0
20200114:0211,0.0,0.0,0.0,4.56,9.03,0.0
20200114:0311,0.0,0.0,0.0,4.88,8.69,0.0
20200114:0411,0.0,0.0,0.0,5.13,8.55,0.0
20200114:0511,0.0,0.0,0.0,5.11,8.07,0.0
20200114:0611,0.0,0.0,0.0,5.3,7.59,0.0
20200114:0711,0.0,0.0,0.0,5.51,7.17,0.0
20200114:0811,0.0,0.0,0.0,5.52,7.17,0.0
20200114:0911,0.0,1.75,2.49,5.78,6.62,0.0
20200114:1011,2.58,11.13,8.8,5.56,5.72,0.0
20200114:1111,76.13,102.47,13.44,5.62,5.72,0.0
20200114:1211,38.4,59.33,16.06,5.89,6.48,0.0
20200114:1311,43.84,65.82,16.4,6.06,8.14,0.0
20200114:1411,283.37,326.9,14.43,6.07,8.14,0.0
20200114:1511,68.02,93.35,10.35,6.32,8.83,0.0
20200114:1611,82.46,110.98,4.49,6.22,9.17,0.0
20200114:1711,0.0,0.0,0.0,6.1,9.45,0.0
20200114:1811,0.0,0.0,0.0,5.99,9.59,0.0
20200114:1911,0.0,0.0,0.0,6.11,10.0,0.0
20200114:2011,0.0,0.0,0.0,5.96,10.21,0.0
20200114:2111,0.0,0.0,0.0,5.75,9.93,0.0
20200114:2211,0.0,0.0,0.0,6.24,10.41,0.0
20200114:2311,0.0,0.0,0.0,6.28,10.9,0.0
20200115:0011,0.0,0.0,0.0,6.26,10.97,0.0
20200115:0111,0.0,0.0,0.0,6.52,11.1,0.0
20200115:0211,0.0,0.0,0.0,6.67,11.17,0.0
20200115:0311,0.0,0.0,0.0,6.93,10.83,0.0
20200115:0411,0.0,0.0,0.0,6.98,10.62,0.0
20200115:0511,0.0,0.0,0.0,6.66,11.1,0.0
20200115:0611,0.0,0.0,0.0,6.79,11.1,0.0
20200115:0711,0.0,0.0,0.0,6.63,10.9,0.0
20200115:0811,0.0,0.0,0.0,6.63,10.76,0.0
20200115:0911,0.0,1.75,2.6,6.85,10.55,0.0
20200115:1011,275.55,321.28,8.93,7.25,9.38,0.0
20200115:1111,15.37,30.59,13.59,7.9,9.93,0.0
20200115:1211,354.82,408.03,16.23,8.32,9.24,0.0
20200115:1311,110.37,141.77,16.58,8.4,9.45,0.0
20200115:1411,463.01,527.49,14.63,7.9,9.31,0.0
20200115:1511,5.81,16.69,10.55,7.32,8.76,0.0
20200115:1611,70.25,97.35,4.68,7.17,8.62,0.0
20200115:1711,0.0,0.0,0.0,6.89,8.34,0.0
20200115:1811,0.0,0.0,0.0,7.15,7.31,0.0
20200115:1911,0.0,0.0,0.0,7.28,6.62,0.0
20200115:2011,0.0,0.0,0.0,7.49,6.28,0.0
20200115:2111,0.0,0.0,0.0,7.82,6.41,0.0
20200115:2211,0.0,0.0,0.0,7.7,8.9,0.0
20200115:2311,0.0,0.0,0.0,7.79,9.79,0.0
20200116:0011,0.0,0.0,0.0,8.51,10.76,0.0
20200116:0111,0.0,0.0,0.0,9.23,11.1,0.0
20200116:0211,0.0,0.0,0.0,9.51,10.41,0.0
20200116:0311,0.0,0.0,0.0,9.92,10.69,0.0
20200116:0411,0.0,0.0,0.0,9.95,11.03,0.0
20200116:0511,0.0,0.0,0.0,10.07,11.03,0.0
20200116:0611,0.0,0.0,0.0,10.02,11.52,0.0
20200116:0711,0.0,0.0,0.0,9.97,11.31,0.0
20200116:0811,0.0,0.0,0.0,10.13,11.38,0.0
20200116:0911,2.62,11.37,2.72,10.21,10.83,0.0
20200116:1011,156.71,194.02,9.07,10.53,10.83,0.0
20200116:1111,245.91,289.24,13.75,8.63,9.17,0.0
20200116:1211,372.15,429.33,16.4,8.98,8.07,0.0
20200116:1311,189.35,229.01,16.77,9.7,9.24,0.0
20200116:1411,71.74,98.96,14.83,9.26,9.38,0.0
20200116:1511,42.28,64.49,10.75,8.82,8.55,0.0
20200116:1611,19.74,36.5,4.89,7.85,7.52,0.0
20200116:1711,0.0,0.0,0.0,7.2,6.48,0.0
20200116:1811,0.0,0.0,0.0,6.99,5.38,0.0
20200116:1911,0.0,0.0,0.0,6.7,5.1,0.0
20200116:2011,0.0,0.0,0.0,6.76,5.03,0.0
20200116:2111,0.0,0.0,0.0,6.82,4.83,0.0
20200116:2211,0.0,0.0,0.0,6.6,4.83,0.0
20200116:2311,0.0,0.0,0.0,6.5,5.17,0.0
20200117:0011,0.0,0.0,0.0,6.29,5.79,0.0
20200117:0111,0.0,0.0,0.0,6.2,6.07,0.0
20200117:0211,0.0,0.0,0.0,6.26,6.0,0.0
20200117:0311,0.0,0.0,0.0,5.84,6.14,0.0
20200117:0411,0.0,0.0,0.0,5.41,6.41,0.0
20200117:0511,0.0,0.0,0.0,5.38,6.62,0.0
20200117:0611,0.0,0.0,0.0,5.1,6.48,0.0
20200117:0711,0.0,0.0,0.0,5.02,6.41,0.0
20200117:0811,0.0,0.0,0.0,5.13,6.48,0.0
20200117:0911,3.7,13.12,2.85,5.71,6.55,0.0
20200117:1011,2.09,10.2,9.21,5.34,5.52,0.0
20200117:1111,364.14,417.85,13.92,6.22,5.79,0.0
20200117:1211,21.08,38.01,16.59,6.71,6.62,0.0
20200117:1311,151.44,185.89,16.97,6.68,6.14,0.0
20200117:1411,367.99,423.53,15.03,7.0,5.72,0.0
20200117:1511,320.06,372.31,10.96,7.27,5.1,0.0
20200117:1611,0.34,6.49,5.1,7.28,4.83,0.0
20200117:1711,0.0,0.0,0.0,6.58,3.1,0.0
20200117:1811,0.0,0.0,0.0,6.1,3.1,0.0
20200117:1911,0.0,0.0,0.0,5.93,2.76,0.0
20200117:2011,0.0,0.0,0.0,5.48,2.07,0.0
20200117:2111,0.0,0.0,0.0,6.5,2.07,0.0
20200117:2211,0.0,0.0,0.0,5.03,2.28,0.0
20200117:2311,0.0,0.0,0.0,4.35,2.07,0.0
20200118:0011,0.0,0.0,0.0,3.87,2.0,0.0
20200118:0111,0.0,0.0,0.0,3.34,2.34,0.0
20200118:0211,0.0,0.0,0.0,3.08,2.07,0.0
20200118:0311,0.0,0.0,0.0,2.93,2.14,0.0
20200118:0411,0.0,0.0,0.0,2.63,2.28,0.0
20200118:0511,0.0,0.0,0.0,2.46,2.55,0.0
20200118:0611,0.0,0.0,0.0,2.24,2.9,0.0
20200118:0711,0.0,0.0,0.0,2.25,2.48,0.0
20200118:0811,0.0,0.0,0.0,1.64,2.9,0.0
20200118:0911,4.31,13.99,2.99,1.79,2.34,0.0
20200118:1011,327.37,375.79,9.37,1.65,2.69,0.0
20200118:1111,460.82,528.24,14.09,2.78,2.34,0.0
20200118:1211,536.8,621.19,16.78,4.56,2.62,0.0
20200118:1311,538.19,627.32,17.18,6.01,2.62,0.0
20200118:1411,506.03,592.43,15.25,7.06,2.48,0.0
20200118:1511,385.61,451.9,11.17,7.48,2.62,0.0
20200118:1611,147.7,186.21,5.31,7.19,2.0,0.0
20200118:1711,0.0,0.0,0.0,5.58,2.62,0.0
20200118:1811,0.0,0.0,0.0,4.39,2.34,0.0
20200118:1911,0.0,0.0,0.0,3.94,2.55,0.0
20200118:2011,0.0,0.0,0.0,3.64,3.17,0.0
20200118:2111,0.0,0.0,0.0,3.59,2.28,0.0
20200118:2211,0.0,0.0,0.0,2.48,2.55,0.0
20200118:2311,0.0,0.0,0.0,2.05,2.41,0.0
20200119:0011,0.0,0.0,0.0,1.74,2.41,0.0
20200119:0111,0.0,0.0,0.0,1.1,2.76,0.0
20200119:0211,0.0,0.0,0.0,1.05,3.03,0.0
20200119:0311,0.0,0.0,0.0,0.85,2.83,0.0
20200119:0411,0.0,0.0,0.0,0.85,3.1,0.0
20200119:0511,0.0,0.0,0.0,0.69,2.9,0.0
20200119:0611,0.0,0.0,0.0,0.85,3.24,0.0
20200119:0711,0.0,0.0,0.0,1.31,3.59,0.0
20200119:0811,0.0,0.0,0.0,1.71,3.86,0.0
